estmethod,imv_full,imv_mean,imv_sd,attribute,modeltype,rep
mp,0.16869312808706236,0.14659382857552408,0.010313461587941431,independent,GDINA,43
MAP,0.16865739649172792,0.08190094755086334,0.033168511213210364,independent,GDINA,44
mp,0.18469319261881728,0.1680282590544651,0.016313332702940296,independent,GDINA,44
MAP,0.16439470557342373,0.08772041827295772,0.02400161330326176,independent,GDINA,45
mp,0.17762752229492265,0.15852763081427354,0.007062430747166918,independent,GDINA,45
MAP,0.15964354897534372,0.0579154079724014,0.01999653725462047,independent,GDINA,46
mp,0.17269085314744687,0.1378727851925041,0.010391646450089347,independent,GDINA,46
MAP,0.1644879557642105,0.12562421062780457,0.015837979159123168,independent,GDINA,47
mp,0.1773264910309966,0.17807869934001685,0.022318148122555947,independent,GDINA,47
MAP,0.1515434380770518,0.036115407999105086,0.049054720464619846,independent,GDINA,48
mp,0.1651566520641094,0.13140495104331854,0.025648789745056015,independent,GDINA,48
MAP,0.17289238554795927,0.08447232251623153,0.04151500372145612,independent,GDINA,49
mp,0.1847377420518271,0.1659335585306699,0.022585522762978573,independent,GDINA,49
MAP,0.17853124262927755,0.12771887070843718,0.04046798093829946,independent,GDINA,50
mp,0.1927371281707618,0.18304701485260377,0.03171922022676848,independent,GDINA,50
MAP,0.17945153490188695,0.11010076413850124,0.03534183027455142,independent,GDINA,51
mp,0.19268864966862995,0.18251498426117266,0.02111713873275516,independent,GDINA,51
MAP,0.15380450683517494,0.07443069031920425,0.033224927010102885,independent,GDINA,52
mp,0.16532362896163696,0.1441788831530702,0.010319751216082505,independent,GDINA,52
MAP,0.16224705452181726,0.0870874629136399,0.015903894740974516,independent,GDINA,53
mp,0.17431645100547818,0.15127018753438573,0.007062084396913722,independent,GDINA,53
MAP,NA,NA,NA,independent,GDINA,54
mp,NA,NA,NA,independent,GDINA,54
MAP,0.15554292172751763,0.08960682223771564,0.03564382949084809,independent,GDINA,55
mp,0.1660130653838253,0.17221455497093893,0.029698880102171837,independent,GDINA,55
MAP,0.1610382184776613,0.07571097877905464,0.017555870242729144,independent,GDINA,56
mp,0.17233967802123087,0.14988095240620244,0.00627272106380362,independent,GDINA,56
MAP,0.17200788564730002,0.1299069025584651,0.03083930725781897,independent,GDINA,57
mp,0.18292378968653616,0.18871580645678931,0.009667967347624847,independent,GDINA,57
MAP,0.16645799372835696,0.08459264176430009,0.02940508857158011,independent,GDINA,58
mp,0.18011234809351256,0.16199952797480344,0.015306978739877344,independent,GDINA,58
MAP,NA,NA,NA,independent,GDINA,59
mp,NA,NA,NA,independent,GDINA,59
MAP,0.16744474999638623,0.10110819519345446,0.025983141926672646,independent,GDINA,60
mp,0.17855860720394048,0.16512082730573288,0.020199942957246312,independent,GDINA,60
MAP,0.17900418053057518,0.13249565611877223,0.04490969131735679,independent,GDINA,61
mp,0.18949262028389632,0.19453155684517662,0.024209520206507948,independent,GDINA,61
MAP,0.16400954348090693,0.07708897858806375,0.023574790002254823,independent,GDINA,62
mp,0.1760577833398631,0.16478789628583196,0.01700861391249771,independent,GDINA,62
MAP,0.16656025544252537,0.0822721867834299,0.01611828339924773,independent,GDINA,63
mp,0.18089495294435637,0.15814406995958705,0.010215149402732666,independent,GDINA,63
MAP,0.13868379320816746,0.10802730255474295,0.008722920883590956,independent,GDINA,64
mp,0.15033150565920675,0.15066366150462307,0.010219146812533464,independent,GDINA,64
MAP,0.16569471194975788,0.08848508564355673,0.035446887823457444,independent,GDINA,65
mp,0.17927285784566743,0.16539298889135245,0.01764540315494747,independent,GDINA,65
MAP,NA,NA,NA,independent,GDINA,66
mp,NA,NA,NA,independent,GDINA,66
